t,bx,by,bz,pg,s0_sym0_energy,s0_sym0_symmetry,s0_sym1_energy,s0_sym1_symmetry,s0_sym2_energy,s0_sym2_symmetry,s1_sym0_energy,s1_sym0_symmetry,s1_sym1_energy,s1_sym1_symmetry,s1_sym2_energy,s1_sym2_symmetry
8.0,0.0,0.0,0.0,C2v,1.0078491,|A|_(1),1.3302388,|B|_(2),1.3302388,|B|_(2),1.0078491,|A|_(1),1.3302388,|B|_(2),1.3302388,|B|_(2)
10.0,0.0,0.0,0.0,C2v,0.2423176,|A|_(1),0.5571397,|B|_(2),0.5571397,|B|_(2),0.2423176,|A|_(1),0.5571397,|B|_(2),0.5571397,|B|_(2)
12.0,0.0,0.0,0.0,C2v,-0.2489436,|A|_(1),0.057392,|B|_(2),0.057392,|B|_(2),-0.2489436,|A|_(1),0.057392,|B|_(2),0.057392,|B|_(2)
14.0,0.0,0.0,0.0,C2v,-0.5836281,|A|_(1),-0.2865592,|B|_(2),-0.2865592,|B|_(2),-0.5836281,|A|_(1),-0.2865592,|B|_(2),-0.2865592,|B|_(2)
16.0,0.0,0.0,0.0,C2v,-0.8208515,|A|_(1),-0.5337276,|B|_(2),-0.5337276,|B|_(2),-0.8208515,|A|_(1),-0.5337276,|B|_(2),-0.5337276,|B|_(2)
18.0,0.0,0.0,0.0,C2v,-0.9936566,|A|_(1),-0.7170714,|B|_(2),-0.7170714,|B|_(2),-0.9936566,|A|_(1),-0.7170714,|B|_(2),-0.7170714,|B|_(2)
20.0,0.0,0.0,0.0,C2v,-1.1219859,|A|_(1),-0.8564597,|B|_(2),-0.8564597,|B|_(2),-1.1219859,|A|_(1),-0.8564597,|B|_(2),-0.8564597,|B|_(2)
22.0,0.0,0.0,0.0,C2v,-1.2185799,|A|_(1),-0.9645732,|B|_(2),-0.9645732,|B|_(2),-1.2185799,|A|_(1),-0.9645732,|B|_(2),-0.9645732,|B|_(2)
24.0,0.0,0.0,0.0,C2v,-1.2919309,|A|_(1),-1.0498562,|B|_(2),-1.0498562,|B|_(2),-1.2919309,|A|_(1),-1.0498562,|B|_(2),-1.0498562,|B|_(2)
26.0,0.0,0.0,0.0,C2v,-1.3478984,|A|_(1),-1.1181286,|B|_(2),-1.1181286,|B|_(2),-1.3478984,|A|_(1),-1.1181286,|B|_(2),-1.1181286,|B|_(2)
28.0,0.0,0.0,0.0,C2v,-1.3906421,|A|_(1),-1.1735156,|B|_(2),-1.1735156,|B|_(2),-1.3906421,|A|_(1),-1.1735156,|B|_(2),-1.1735156,|B|_(2)
30.0,0.0,0.0,0.0,C2v,-1.4231892,|A|_(1),-1.2190106,|B|_(2),-1.2190106,|B|_(2),-1.4231892,|A|_(1),-1.2190106,|B|_(2),-1.2190106,|B|_(2)
