t,bx,by,bz,pg,s0_sym0_energy,s0_sym0_symmetry,s0_sym1_energy,s0_sym1_symmetry,s0_sym2_energy,s0_sym2_symmetry,s1_sym0_energy,s1_sym0_symmetry,s1_sym1_energy,s1_sym1_symmetry,s1_sym2_energy,s1_sym2_symmetry
60.0,0.0,0.0,0.0,D3h,-1.4751359,|A|_(1)^(') ⊕ |E|^('),-1.4765948,|A|_(2)^(') ⊕ |E|^('),-1.4765948,|A|_(2)^(') ⊕ |E|^('),-1.4751359,|A|_(1)^(') ⊕ |E|^('),-1.4765948,|A|_(2)^(') ⊕ |E|^('),-1.4765948,|A|_(2)^(') ⊕ |E|^(')
60.0,0.05,0.0,0.0,C3h,-1.5180721,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^('),-1.5180721,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^('),-1.5180721,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^('),-1.5180721,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^('),-1.5180721,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^('),-1.5180721,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^(')
60.0,0.1,0.0,0.0,C3h,-1.5593929,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^('),-1.5593929,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^('),-1.5593929,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^('),-1.5593929,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^('),-1.5593929,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^('),-1.5593929,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^(')
60.0,0.15,0.0,0.0,C3h,-1.5951469,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^('),-1.5951469,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^('),-1.5951469,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^('),-1.5951469,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^('),-1.5951469,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^('),-1.5951469,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^(')
60.0,0.2,0.0,0.0,C3h,-1.6253433,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^('),-1.6253433,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^('),-1.6253433,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^('),-1.6253433,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^('),-1.6253433,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^('),-1.6253433,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^(')
60.0,0.25,0.0,0.0,C3h,-1.6501222,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^('),-1.6501222,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^('),-1.6501222,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^('),-1.6501222,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^('),-1.6501222,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^('),-1.6501222,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^(')
60.0,0.3,0.0,0.0,C3h,-1.6697163,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^('),-1.6697163,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^('),-1.6697163,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^('),-1.6697163,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^('),-1.6697163,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^('),-1.6697163,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^(')
60.0,0.35,0.0,0.0,C3h,-1.6844226,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^('),-1.6844226,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^('),-1.6844226,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^('),-1.6844226,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^('),-1.6844226,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^('),-1.6844226,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^(')
60.0,0.4,0.0,0.0,C3h,-1.6945802,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^('),-1.6945802,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^('),-1.6945802,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^('),-1.6945802,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^('),-1.6945802,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^('),-1.6945802,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^(')
60.0,0.45,0.0,0.0,C3h,-1.7005529,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^('),-1.7005529,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^('),-1.7005529,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^('),-1.7005529,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^('),-1.7005529,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^('),-1.7005529,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^(')
60.0,0.5,0.0,0.0,C3h,-1.7027145,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^('),-1.7027145,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^('),-1.7027145,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^('),-1.7027145,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^('),-1.7027145,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^('),-1.7027145,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^(')
60.0,0.55,0.0,0.0,C3h,-1.7014362,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^('),-1.7014362,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^('),-1.7014362,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^('),-1.7014362,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^('),-1.7014362,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^('),-1.7014362,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^(')
60.0,0.6,0.0,0.0,C3h,-1.6970761,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^('),-1.6970761,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^('),-1.6970761,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^('),-1.6970761,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^('),-1.6970761,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^('),-1.6970761,|A|^(') ⊕ |Γ|_(1)^(') ⊕ |Γ|_(2)^(')
